date,source,category,headline
2023-02-14,Профильный телеграм-канал,Макро/валюта,Девальвация рубля повышает экспортную привлекательность удобрений
2023-02-23,CRU,Энергоносители,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает"
2023-02-24,Argus,Прочее,Производитель открыл обновлённый учебный центр
2023-03-07,Argus,Спрос/агрорынок,Рост цен на зерно поддерживает спрос на удобрения
2023-03-09,Коммерсантъ,Аммиак,Котировки аммиака пошли вниз на фоне слабого спроса
2023-03-27,Интерфакс,Спрос/агрорынок,Рост цен на зерно поддерживает спрос на удобрения
2023-04-01,Профильный телеграм-канал,Аммиак,Производители аммиака объявили о сокращении мощностей
2023-04-05,Коммерсантъ,Фосфаты,Цены на DAP растут на фоне крепкого спроса в Южной Азии
2023-04-07,Профильный телеграм-канал,Аммиак,Экспортные котировки аммиака выросли вслед за газом
2023-04-10,Коммерсантъ,Калий,Новые контракты по калию заключены ниже рынка
2023-04-13,Argus,Макро/валюта,"Рубль укрепился, ЦБ удержал ставку"
2023-04-18,Reuters,Логистика,Ставки морского фрахта взлетели из-за перегрузки портов
2023-04-21,Интерфакс,Аммиак,Запуск простаивавших мощностей давит на цены аммиака
2023-04-24,Коммерсантъ,Энергоносители,Газ дешевеет вторую неделю подряд
2023-05-04,Bloomberg,Аммиак,Запуск простаивавших мощностей давит на цены аммиака
2023-05-04,Argus,Прочее,Отраслевая конференция по удобрениям пройдёт в следующем месяце
2023-05-05,ICIS,Логистика,Логистические издержки растут — дорожает доставка удобрений
2023-05-17,Интерфакс,Логистика,Логистические издержки растут — дорожает доставка удобрений
2023-05-20,Профильный телеграм-канал,Калий,"Поставки калия восстанавливаются, цены MOP снижаются"
2023-05-23,Argus,Аммиак,Производители аммиака объявили о сокращении мощностей
2023-05-24,ICIS,Энергоносители,Стабилизация на газовом рынке снижает издержки производителей
2023-05-24,Argus,Спрос/агрорынок,Фермеры откладывают закупки удобрений
2023-05-25,Интерфакс,Логистика,Ставки морского фрахта взлетели из-за перегрузки портов
2023-05-26,Bloomberg,Прочее,Запущена корпоративная программа стажировок
2023-06-05,Коммерсантъ,Макро/валюта,Рубль резко ослаб к доллару
2023-06-12,Интерфакс,Макро/валюта,Рубль резко ослаб к доллару
2023-06-16,CRU,Спрос/агрорынок,Локдауны бьют по логистике и спросу на удобрения
2023-06-24,ICIS,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2023-06-29,Reuters,Спрос/агрорынок,Падение цен на зерно ослабляет спрос на удобрения
2023-08-08,CRU,Калий,Новые контракты по калию заключены ниже рынка
2023-08-15,Профильный телеграм-канал,Логистика,Нарушение цепочек поставок: контейнеры подорожали в разы
2023-08-15,Профильный телеграм-канал,Прочее,Подписан меморандум о научном сотрудничестве с вузом
2023-08-23,Reuters,Спрос/агрорынок,Фермеры откладывают закупки удобрений
2023-08-28,Интерфакс,Спрос/агрорынок,Падение цен на зерно ослабляет спрос на удобрения
2023-09-01,Argus,Фосфаты,Цены на DAP растут на фоне крепкого спроса в Южной Азии
2023-09-04,Bloomberg,Фосфаты,Фосфатное сырьё дорожает вслед за серой
2023-09-09,Reuters,Энергоносители,Газ дешевеет вторую неделю подряд
2023-09-12,CRU,Фосфаты,Фосфатное сырьё дорожает вслед за серой
2023-09-16,Bloomberg,Логистика,"Ставки фрахта снижаются, логистика дешевеет"
2023-10-28,Коммерсантъ,Фосфаты,Фосфатное сырьё дорожает вслед за серой
2023-11-01,CRU,Логистика,"Ставки фрахта снижаются, логистика дешевеет"
2023-11-09,Bloomberg,Фосфаты,Фосфатное сырьё дорожает вслед за серой
2023-11-11,CRU,Калий,Новые контракты по калию заключены ниже рынка
2023-11-15,Профильный телеграм-канал,Фосфаты,Цены на DAP растут на фоне крепкого спроса в Южной Азии
2023-11-16,ICIS,Прочее,Запущена корпоративная программа стажировок
2023-11-17,Reuters,Спрос/агрорынок,Локдауны бьют по логистике и спросу на удобрения
2023-11-28,CRU,Спрос/агрорынок,Рост цен на зерно поддерживает спрос на удобрения
2023-11-29,Argus,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2023-11-29,Argus,Прочее,Подписан меморандум о научном сотрудничестве с вузом
2023-12-02,ICIS,Энергоносители,Цены на газ в Европе подскочили до многомесячных максимумов
2023-12-02,Reuters,Логистика,Нарушение цепочек поставок: контейнеры подорожали в разы
2023-12-12,Коммерсантъ,Калий,"Поставки калия восстанавливаются, цены MOP снижаются"
2023-12-12,Коммерсантъ,Спрос/агрорынок,Рост цен на зерно поддерживает спрос на удобрения
2023-12-14,Argus,Энергоносители,Газ дешевеет вторую неделю подряд
2023-12-14,Профильный телеграм-канал,Прочее,Опубликован годовой ESG-отчёт компании
2023-12-19,Reuters,Калий,Новые контракты по калию заключены ниже рынка
2024-01-13,Коммерсантъ,Аммиак,Котировки аммиака пошли вниз на фоне слабого спроса
2024-01-16,Reuters,Логистика,"Ставки фрахта снижаются, логистика дешевеет"
2024-01-18,Argus,Калий,"Поставки хлористого калия сорваны, цены MOP идут вверх"
2024-01-20,Argus,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2024-01-24,Reuters,Калий,Введены ограничения на экспорт калия — рынок ждёт дефицита
2024-01-27,Bloomberg,Аммиак,Производители аммиака объявили о сокращении мощностей
2024-01-29,Argus,Фосфаты,Фосфатное сырьё дорожает вслед за серой
2024-01-30,Профильный телеграм-канал,Спрос/агрорынок,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами
2024-02-08,Интерфакс,Аммиак,Производители аммиака объявили о сокращении мощностей
2024-02-13,Argus,Спрос/агрорынок,Рост цен на зерно поддерживает спрос на удобрения
2024-02-13,CRU,Макро/валюта,Стабилизация рубля снижает экспортные премии
2024-02-16,Коммерсантъ,Аммиак,Производители аммиака объявили о сокращении мощностей
2024-02-29,Профильный телеграм-канал,Прочее,Запущена корпоративная программа стажировок
2024-03-11,Bloomberg,Энергоносители,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений
2024-03-21,ICIS,Фосфаты,Цены на DAP растут на фоне крепкого спроса в Южной Азии
2024-03-27,Bloomberg,Логистика,"Ставки фрахта снижаются, логистика дешевеет"
2024-04-04,Коммерсантъ,Спрос/агрорынок,Локдауны бьют по логистике и спросу на удобрения
2024-04-09,CRU,Прочее,Назначен новый директор по устойчивому развитию
2024-04-16,CRU,Аммиак,Экспортные котировки аммиака выросли вслед за газом
2024-04-19,Reuters,Прочее,Подписан меморандум о научном сотрудничестве с вузом
2024-04-23,Коммерсантъ,Энергоносители,Газ дешевеет вторую неделю подряд
2024-04-23,Коммерсантъ,Фосфаты,DAP дешевеет из-за слабого спроса в Индии
2024-04-24,Argus,Спрос/агрорынок,Рост цен на зерно поддерживает спрос на удобрения
2024-05-01,Коммерсантъ,Фосфаты,DAP дешевеет из-за слабого спроса в Индии
2024-05-02,Argus,Энергоносители,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака"
2024-05-04,CRU,Логистика,Нарушение цепочек поставок: контейнеры подорожали в разы
2024-05-23,Интерфакс,Спрос/агрорынок,Рост цен на зерно поддерживает спрос на удобрения
2024-06-06,Bloomberg,Калий,"Поставки калия восстанавливаются, цены MOP снижаются"
2024-06-14,Reuters,Прочее,Назначен новый директор по устойчивому развитию
2024-06-18,Коммерсантъ,Прочее,Опубликован годовой ESG-отчёт компании
2024-06-27,Коммерсантъ,Аммиак,Запуск простаивавших мощностей давит на цены аммиака
2024-07-04,ICIS,Аммиак,Запуск простаивавших мощностей давит на цены аммиака
2024-07-11,ICIS,Аммиак,Экспортные котировки аммиака выросли вслед за газом
2024-07-24,Argus,Энергоносители,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает"
2024-07-24,Интерфакс,Спрос/агрорынок,Локдауны бьют по логистике и спросу на удобрения
2024-08-01,Профильный телеграм-канал,Фосфаты,DAP дешевеет из-за слабого спроса в Индии
2024-08-03,Интерфакс,Логистика,Нарушение цепочек поставок: контейнеры подорожали в разы
2024-08-14,ICIS,Энергоносители,Цены на газ в Европе подскочили до многомесячных максимумов
2024-08-16,Профильный телеграм-канал,Аммиак,Производители аммиака объявили о сокращении мощностей
2024-09-09,Bloomberg,Калий,Дефицит калия на ключевых рынках толкает цены вверх
2024-09-21,CRU,Аммиак,Экспортные котировки аммиака выросли вслед за газом
2024-10-11,Профильный телеграм-канал,Аммиак,Производители аммиака объявили о сокращении мощностей
2024-10-18,Коммерсантъ,Фосфаты,Цены на DAP растут на фоне крепкого спроса в Южной Азии
2024-10-21,CRU,Логистика,Логистические издержки растут — дорожает доставка удобрений
2024-10-22,Argus,Макро/валюта,"Рубль укрепился, ЦБ удержал ставку"
2024-11-09,Reuters,Макро/валюта,Девальвация рубля повышает экспортную привлекательность удобрений
2024-11-09,Профильный телеграм-канал,Логистика,Нарушение цепочек поставок: контейнеры подорожали в разы
2024-11-11,Reuters,Фосфаты,Фосфатное сырьё дорожает вслед за серой
2024-11-19,Reuters,Аммиак,Котировки аммиака пошли вниз на фоне слабого спроса
2024-11-21,ICIS,Прочее,Производитель открыл обновлённый учебный центр
2024-11-21,Reuters,Макро/валюта,Рубль резко ослаб к доллару
2024-11-28,Bloomberg,Логистика,"Ставки фрахта снижаются, логистика дешевеет"
2024-12-09,CRU,Прочее,Отраслевая конференция по удобрениям пройдёт в следующем месяце
2024-12-10,Argus,Аммиак,Котировки аммиака пошли вниз на фоне слабого спроса
2025-01-13,Коммерсантъ,Фосфаты,Фосфатное сырьё дорожает вслед за серой
2025-01-17,CRU,Логистика,Нарушение цепочек поставок: контейнеры подорожали в разы
2025-01-27,CRU,Логистика,"Ставки фрахта снижаются, логистика дешевеет"
2025-02-15,Bloomberg,Спрос/агрорынок,Рост цен на зерно поддерживает спрос на удобрения
2025-02-21,Коммерсантъ,Калий,Новые контракты по калию заключены ниже рынка
2025-02-28,ICIS,Прочее,Отраслевая конференция по удобрениям пройдёт в следующем месяце
2025-03-05,Reuters,Прочее,Производитель открыл обновлённый учебный центр
2025-03-10,CRU,Макро/валюта,"Рубль укрепился, ЦБ удержал ставку"
2025-03-22,CRU,Макро/валюта,Девальвация рубля повышает экспортную привлекательность удобрений
2025-04-01,Reuters,Спрос/агрорынок,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами
2025-04-10,Профильный телеграм-канал,Логистика,Логистические издержки растут — дорожает доставка удобрений
2025-04-12,ICIS,Энергоносители,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений
2025-04-18,Argus,Прочее,Отраслевая конференция по удобрениям пройдёт в следующем месяце
2025-04-22,Коммерсантъ,Фосфаты,Фосфатное сырьё дорожает вслед за серой
2025-05-10,Коммерсантъ,Калий,Новые контракты по калию заключены ниже рынка
2025-05-14,Коммерсантъ,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2025-05-15,CRU,Энергоносители,Газ дешевеет вторую неделю подряд
2025-05-15,ICIS,Спрос/агрорынок,Фермеры откладывают закупки удобрений
2025-05-24,ICIS,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2025-05-26,Профильный телеграм-канал,Фосфаты,DAP дешевеет из-за слабого спроса в Индии
2025-05-30,Интерфакс,Калий,"Поставки калия восстанавливаются, цены MOP снижаются"
2025-05-31,ICIS,Прочее,Назначен новый директор по устойчивому развитию
2025-06-13,Коммерсантъ,Прочее,Запущена корпоративная программа стажировок
2025-06-23,Интерфакс,Фосфаты,DAP дешевеет из-за слабого спроса в Индии
2025-07-10,CRU,Прочее,Назначен новый директор по устойчивому развитию
2025-07-11,Профильный телеграм-канал,Спрос/агрорынок,Фермеры откладывают закупки удобрений
2025-07-14,Argus,Спрос/агрорынок,Падение цен на зерно ослабляет спрос на удобрения
2025-07-28,Профильный телеграм-канал,Калий,"Поставки калия восстанавливаются, цены MOP снижаются"
2025-08-04,Argus,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2025-08-12,ICIS,Логистика,Ставки морского фрахта взлетели из-за перегрузки портов
2025-08-13,Argus,Спрос/агрорынок,Падение цен на зерно ослабляет спрос на удобрения
2025-08-16,Reuters,Аммиак,Экспортные котировки аммиака выросли вслед за газом
2025-08-28,Коммерсантъ,Спрос/агрорынок,Локдауны бьют по логистике и спросу на удобрения
2025-08-29,Reuters,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2025-09-01,CRU,Прочее,Опубликован годовой ESG-отчёт компании
2025-09-09,Reuters,Калий,Дефицит калия на ключевых рынках толкает цены вверх
2025-09-10,Интерфакс,Аммиак,Запуск простаивавших мощностей давит на цены аммиака
2025-09-13,Bloomberg,Прочее,Производитель открыл обновлённый учебный центр
2025-09-19,Argus,Прочее,Запущена корпоративная программа стажировок
2025-10-09,Reuters,Энергоносители,Стабилизация на газовом рынке снижает издержки производителей
2025-10-10,ICIS,Аммиак,Экспортные котировки аммиака выросли вслед за газом
2025-10-21,ICIS,Макро/валюта,Рубль резко ослаб к доллару
2025-10-27,Профильный телеграм-канал,Аммиак,Производители аммиака объявили о сокращении мощностей
2025-10-31,Reuters,Макро/валюта,Стабилизация рубля снижает экспортные премии
2025-11-11,ICIS,Логистика,Ставки морского фрахта взлетели из-за перегрузки портов
2025-11-12,Интерфакс,Энергоносители,Стабилизация на газовом рынке снижает издержки производителей
2025-11-13,Reuters,Спрос/агрорынок,Рост цен на зерно поддерживает спрос на удобрения
2025-11-18,CRU,Логистика,Нарушение цепочек поставок: контейнеры подорожали в разы
2025-11-25,CRU,Калий,"Поставки хлористого калия сорваны, цены MOP идут вверх"
2025-12-02,Профильный телеграм-канал,Калий,"Поставки хлористого калия сорваны, цены MOP идут вверх"
2025-12-06,CRU,Аммиак,Котировки аммиака пошли вниз на фоне слабого спроса
2025-12-19,ICIS,Аммиак,Запуск простаивавших мощностей давит на цены аммиака
2025-12-20,Профильный телеграм-канал,Прочее,Производитель открыл обновлённый учебный центр
2025-12-27,Интерфакс,Энергоносители,Цены на газ в Европе подскочили до многомесячных максимумов
2026-01-14,CRU,Макро/валюта,Стабилизация рубля снижает экспортные премии
2026-01-27,Профильный телеграм-канал,Спрос/агрорынок,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами
2026-01-31,Интерфакс,Калий,Введены ограничения на экспорт калия — рынок ждёт дефицита
2026-01-31,Bloomberg,Макро/валюта,Стабилизация рубля снижает экспортные премии
2026-02-06,Bloomberg,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2026-02-07,Интерфакс,Логистика,"Ставки фрахта снижаются, логистика дешевеет"
2026-02-14,CRU,Фосфаты,DAP дешевеет из-за слабого спроса в Индии
2026-02-17,Коммерсантъ,Аммиак,Экспортные котировки аммиака выросли вслед за газом
2026-02-20,Bloomberg,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2026-02-27,Профильный телеграм-канал,Прочее,Опубликован годовой ESG-отчёт компании
2026-03-09,Bloomberg,Прочее,Производитель открыл обновлённый учебный центр
2026-03-11,Интерфакс,Калий,Новые контракты по калию заключены ниже рынка
2026-03-18,Argus,Прочее,Производитель открыл обновлённый учебный центр
2026-03-30,Reuters,Макро/валюта,"Рубль укрепился, ЦБ удержал ставку"
2026-04-10,Reuters,Калий,"Поставки хлористого калия сорваны, цены MOP идут вверх"
2026-04-20,Bloomberg,Аммиак,Запуск простаивавших мощностей давит на цены аммиака
2026-05-07,Reuters,Аммиак,Котировки аммиака пошли вниз на фоне слабого спроса
2026-05-13,ICIS,Спрос/агрорынок,Фермеры откладывают закупки удобрений
2026-05-15,Профильный телеграм-канал,Макро/валюта,Рубль резко ослаб к доллару
2026-05-16,Интерфакс,Аммиак,Экспортные котировки аммиака выросли вслед за газом
2026-05-29,Коммерсантъ,Прочее,Назначен новый директор по устойчивому развитию
2026-06-12,ICIS,Прочее,Подписан меморандум о научном сотрудничестве с вузом
2026-06-25,Bloomberg,Прочее,Запущена корпоративная программа стажировок
2026-07-01,Интерфакс,Фосфаты,Фосфатное сырьё дорожает вслед за серой
